,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.59068787 0.99570817],0.39226922392845154,0.7071067690849304,0.020040564239025116,False,False
1,1,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.59038442 0.99570388],0.3923991024494171,0.7071067690849304,0.02005888894200325,False,False
2,2,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.59008074 0.99569952],0.3925289809703827,0.7071067690849304,0.02007724530994892,False,False
3,3,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58977687 0.99569523],0.39265871047973633,0.7071067690849304,0.020095590502023697,False,False
4,4,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58947277 0.99569088],0.3927883505821228,0.7071067690849304,0.020113971084356308,False,False
5,5,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58916849 0.99568653],0.3929178714752197,0.7071067690849304,0.020132357254624367,False,False
6,6,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58886397 0.99568218],0.3930473327636719,0.7071067690849304,0.02015076018869877,False,False
7,7,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58855927 0.99567783],0.3931766748428345,0.7071067690849304,0.02016919106245041,False,False
8,8,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58825439 0.99567348],0.3933058977127075,0.7071067690849304,0.020187636837363243,False,False
9,9,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58794934 0.99566913],0.393435001373291,0.7071067690849304,0.020206090062856674,False,False
10,10,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.5876441  0.99566478],0.39356398582458496,0.7071067690849304,0.02022457867860794,False,False
11,11,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58733863 0.99566042],0.39369291067123413,0.7071067690849304,0.020243065431714058,False,False
12,12,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58703297 0.99565607],0.393821656703949,0.7071067690849304,0.02026158757507801,False,False
13,13,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58672702 0.99565166],0.3939504325389862,0.7071067690849304,0.020280124619603157,False,False
14,14,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58642101 0.99564731],0.3940789997577667,0.7071067690849304,0.020298659801483154,False,False
15,15,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.5861147 0.9956429],0.39420753717422485,0.7071067690849304,0.02031722292304039,False,False
16,16,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58580822 0.99563855],0.39433592557907104,0.7071067690849304,0.02033580094575882,False,False
17,17,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58550155 0.99563414],0.3944641649723053,0.7071067690849304,0.020354386419057846,False,False
18,18,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58519471 0.99562973],0.3945923149585724,0.7071067690849304,0.020373007282614708,False,False
19,19,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58488768 0.99562532],0.3947203457355499,0.7071067690849304,0.020391637459397316,False,False
20,20,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58458042 0.99562091],0.3948483169078827,0.7071067690849304,0.020410291850566864,False,False
21,21,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58427292 0.9956165 ],0.3949761986732483,0.7071067690849304,0.020428961142897606,False,False
22,22,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58396524 0.99561208],0.39510393142700195,0.7071067690849304,0.020447637885808945,False,False
23,23,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58365744 0.99560767],0.3952315151691437,0.7071067690849304,0.020466335117816925,False,False
24,24,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58334935 0.99560326],0.395359069108963,0.7071067690849304,0.020485056564211845,False,False
25,25,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58304119 0.99559879],0.395486444234848,0.7071067690849304,0.020503796637058258,False,False
26,26,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58273268 0.99559438],0.39561372995376587,0.7071067690849304,0.02052254043519497,False,False
27,27,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.5824241  0.99558997],0.3957408666610718,0.7071067690849304,0.02054131031036377,False,False
28,28,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58211517 0.9955855 ],0.3958679735660553,0.7071067690849304,0.02056010067462921,False,False
29,29,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58180618 0.99558103],0.3959949314594269,0.7071067690849304,0.020578904077410698,False,False
30,30,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58149701 0.99557662],0.3961217403411865,0.7071067690849304,0.020597724243998528,False,False
31,31,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58118749 0.99557215],0.3962485194206238,0.7071067690849304,0.020616566762328148,False,False
32,32,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.5808779  0.99556768],0.3963751494884491,0.7071067690849304,0.020635422319173813,False,False
33,33,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58056813 0.99556321],0.3965016007423401,0.7071067690849304,0.020654285326600075,False,False
34,34,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.58025813 0.99555874],0.3966279625892639,0.7071067690849304,0.020673172548413277,False,False
35,35,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57994795 0.99555427],0.3967542350292206,0.7071067690849304,0.020692087709903717,False,False
36,36,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57963753 0.9955498 ],0.3968803882598877,0.7071067690849304,0.02071099355816841,False,False
37,37,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57932693 0.99554533],0.39700645208358765,0.7071067690849304,0.020729942247271538,False,False
38,38,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57901615 0.9955408 ],0.39713233709335327,0.7071067690849304,0.02074889838695526,False,False
39,39,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57870519 0.99553633],0.39725813269615173,0.7071067690849304,0.02076786570250988,False,False
40,40,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.578394   0.99553186],0.39738380908966064,0.7071067690849304,0.02078685723245144,False,False
41,41,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57808262 0.99552733],0.3975093960762024,0.7071067690849304,0.02080586366355419,False,False
42,42,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57777107 0.99552286],0.3976348638534546,0.7071067690849304,0.020824890583753586,False,False
43,43,[0.47918576 0.4798968  0.4683356  0.4808592 ],[0.57745934 0.99551833],0.39776018261909485,0.7071067690849304,0.020843930542469025,False,False
