,n_iteration,x_trajectory,y_trajectory,norm_d,alpha,measure_PS,Start_hitting_boundary,stop_hitting_boundary
0,0,[3.2966413 3.2948697 1.296523 ],[-0.44091368  1.06334877],3.6986048221588135,0.7106159329414368,3.4467411041259766,False,False
1,1,[3.2966413 3.2948697 1.296523 ],[-0.45333749  1.04812491],3.6995115280151367,0.7108407020568848,3.433582067489624,False,False
2,2,[3.2966413 3.2948697 1.296523 ],[-0.46573138  1.03284121],3.7001988887786865,0.7110713124275208,3.420457601547241,False,False
3,3,[3.2966413 3.2948697 1.296523 ],[-0.47809333  1.01750016],3.700669288635254,0.7113077044487,3.4073739051818848,False,False
4,4,[3.2966413 3.2948697 1.296523 ],[-0.49042493  1.00210047],3.7009246349334717,0.7115495204925537,3.3943328857421875,False,False
5,5,[3.2966413 3.2948697 1.296523 ],[-0.50272346  0.98664474],3.700968027114868,0.7117965817451477,3.381345272064209,False,False
6,6,[3.2966413 3.2948697 1.296523 ],[-0.51498741  0.97113574],3.700801134109497,0.7120487093925476,3.368414878845215,False,False
7,7,[3.2966413 3.2948697 1.296523 ],[-0.52721667  0.95557487],3.700425148010254,0.7123056054115295,3.355544090270996,False,False
8,8,[3.2966413 3.2948697 1.296523 ],[-0.53940946  0.93996394],3.699845790863037,0.7125672101974487,3.3427436351776123,False,False
9,9,[3.2966413 3.2948697 1.296523 ],[-0.55156559  0.92430431],3.6990630626678467,0.7128331661224365,3.330014944076538,False,False
10,10,[3.2966413 3.2948697 1.296523 ],[-0.56368524  0.90859646],3.6980807781219482,0.7131032943725586,3.317363739013672,False,False
11,11,[3.2966413 3.2948697 1.296523 ],[-0.57576418  0.89284611],3.696901559829712,0.7133772373199463,3.304798126220703,False,False
12,12,[3.2966413 3.2948697 1.296523 ],[-0.58780533  0.87705064],3.6955294609069824,0.7136548161506653,3.2923223972320557,False,False
13,13,[3.2966413 3.2948697 1.296523 ],[-0.59980637  0.86121345],3.693967342376709,0.7139356732368469,3.279942512512207,False,False
14,14,[3.2966413 3.2948697 1.296523 ],[-0.61176574  0.84533799],3.692218542098999,0.7142196893692017,3.2676639556884766,False,False
15,15,[3.2966413 3.2948697 1.296523 ],[-0.62368411  0.82942349],3.690286636352539,0.7145063281059265,3.255492925643921,False,False
16,16,[3.2966413 3.2948697 1.296523 ],[-0.63555932  0.81347466],3.688174247741699,0.7147954702377319,3.243434429168701,False,False
17,17,[3.2966413 3.2948697 1.296523 ],[-0.64739251  0.79749107],3.6858856678009033,0.7150868773460388,3.231492042541504,False,False
18,18,[3.2966413 3.2948697 1.296523 ],[-0.65918159  0.7814759 ],3.683424234390259,0.7153801321983337,3.2196738719940186,False,False
19,19,[3.2966413 3.2948697 1.296523 ],[-0.67092746  0.76542962],3.6807947158813477,0.7156750559806824,3.207984447479248,False,False
20,20,[3.2966413 3.2948697 1.296523 ],[-0.68262774  0.74935615],3.6780004501342773,0.715971052646637,3.1964309215545654,False,False
21,21,[3.2966413 3.2948697 1.296523 ],[-0.69428408  0.73325497],3.6750454902648926,0.7162681221961975,3.18501615524292,False,False
22,22,[3.2966413 3.2948697 1.296523 ],[-0.70589453  0.71712983],3.67193341255188,0.716565728187561,3.173746347427368,False,False
23,23,[3.2966413 3.2948697 1.296523 ],[-0.71745938  0.70098186],3.668668508529663,0.716863751411438,3.1626269817352295,False,False
24,24,[3.2966413 3.2948697 1.296523 ],[-0.72897792  0.68481344],3.665254592895508,0.7171617150306702,3.1516616344451904,False,False
25,25,[3.2966413 3.2948697 1.296523 ],[-0.74044973  0.66862649],3.661696434020996,0.7174593210220337,3.1408581733703613,False,False
26,26,[3.2966413 3.2948697 1.296523 ],[-0.75187516  0.65242225],3.6579959392547607,0.7177562713623047,3.130216598510742,False,False
27,27,[3.2966413 3.2948697 1.296523 ],[-0.76325297  0.63620335],3.6541614532470703,0.7180522084236145,3.1197495460510254,False,False
28,28,[3.2966413 3.2948697 1.296523 ],[-0.77458358  0.61997151],3.650193452835083,0.718346893787384,3.10945463180542,False,False
29,29,[3.2966413 3.2948697 1.296523 ],[-0.78586709  0.60372806],3.646097183227539,0.7186399698257446,3.0993385314941406,False,False
30,30,[3.2966413 3.2948697 1.296523 ],[-0.79710269  0.58747554],3.6418776512145996,0.7189310193061829,3.089407205581665,False,False
31,31,[3.2966413 3.2948697 1.296523 ],[-0.80829078  0.57121533],3.637537717819214,0.7192198038101196,3.0796637535095215,False,False
32,32,[3.2966413 3.2948697 1.296523 ],[-0.81943023  0.55495071],3.6330831050872803,0.7195059061050415,3.0701141357421875,False,False
33,33,[3.2966413 3.2948697 1.296523 ],[-0.83052236  0.53868175],3.628516435623169,0.7197891473770142,3.0607597827911377,False,False
34,34,[3.2966413 3.2948697 1.296523 ],[-0.84156698  0.52241039],3.623840808868408,0.7200692296028137,3.0516042709350586,False,False
35,35,[3.2966413 3.2948697 1.296523 ],[-0.85256362  0.50613928],3.6190624237060547,0.7203457355499268,3.0426528453826904,False,False
36,36,[3.2966413 3.2948697 1.296523 ],[-0.86351252  0.48986983],3.614184617996216,0.7206185460090637,3.0339086055755615,False,False
37,37,[3.2966413 3.2948697 1.296523 ],[-0.8744123   0.47360584],3.60921049118042,0.7208871245384216,3.0253756046295166,False,False
